ts,price,alpha
2026-05-14 17:05:04.672,346.789,47
2026-05-14 17:05:11.041,346.789,62
2026-05-14 17:05:11.677,346.789,216
2026-05-14 17:05:12.314,346.789,225
2026-05-14 17:05:12.951,346.789,216
2026-05-14 17:05:13.588,346.789,62
2026-05-14 17:05:15.499,346.789,21
2026-05-14 17:05:16.136,346.789,69
2026-05-14 17:05:16.773,346.789,67
2026-05-14 17:05:17.409,346.789,55
2026-05-14 17:06:05.176,346.789,55
2026-05-14 17:06:05.813,346.789,64
2026-05-14 17:06:06.450,346.789,55
2026-05-14 17:06:20.461,346.789,79
2026-05-14 17:06:21.098,346.789,235
2026-05-14 17:06:21.735,346.789,232
2026-05-14 17:06:22.372,346.789,189
2026-05-14 17:06:23.009,346.789,16
2026-05-14 17:06:25.557,346.789,61
2026-05-14 17:06:26.193,346.789,87
2026-05-14 17:06:26.830,346.789,72
2026-05-14 17:05:02.124,346.906,122
2026-05-14 17:05:02.761,346.906,246
2026-05-14 17:05:03.398,346.906,247
2026-05-14 17:05:04.035,346.906,246
2026-05-14 17:05:04.672,346.906,122
2026-05-14 17:05:11.041,346.906,44
2026-05-14 17:05:11.677,346.906,215
2026-05-14 17:05:12.314,346.906,230
2026-05-14 17:05:12.951,346.906,217
2026-05-14 17:05:13.588,346.906,47
2026-05-14 17:05:16.773,346.906,29
2026-05-14 17:06:05.813,346.906,15
2026-05-14 17:06:20.461,346.906,42
2026-05-14 17:06:21.098,346.906,150
2026-05-14 17:06:21.735,346.906,159
2026-05-14 17:06:22.372,346.906,150
2026-05-14 17:06:23.009,346.906,42
2026-05-14 17:06:26.193,346.906,66
2026-05-14 17:06:26.830,346.906,67
2026-05-14 17:06:27.467,346.906,55
2026-05-14 17:05:02.124,347.022,37
2026-05-14 17:05:02.761,347.022,240
2026-05-14 17:05:03.398,347.022,247
2026-05-14 17:05:04.035,347.022,240
2026-05-14 17:05:04.672,347.022,37
2026-05-14 17:05:11.041,347.022,35
2026-05-14 17:05:11.677,347.022,219
2026-05-14 17:05:12.314,347.022,237
2026-05-14 17:05:12.951,347.022,228
2026-05-14 17:05:13.588,347.022,82
2026-05-14 17:05:16.136,347.022,76
2026-05-14 17:05:16.773,347.022,106
2026-05-14 17:05:17.409,347.022,65
2026-05-14 17:06:20.461,347.022,10
2026-05-14 17:06:21.098,347.022,131
2026-05-14 17:06:21.735,347.022,148
2026-05-14 17:06:22.372,347.022,131
2026-05-14 17:06:23.009,347.022,10
2026-05-14 17:06:25.557,347.022,15
2026-05-14 17:06:26.193,347.022,64
2026-05-14 17:06:26.830,347.022,64
2026-05-14 17:06:27.467,347.022,64
2026-05-14 17:06:28.104,347.022,15
2026-05-14 17:05:02.124,347.138,15
2026-05-14 17:05:02.761,347.138,89
2026-05-14 17:05:03.398,347.138,154
2026-05-14 17:05:04.035,347.138,89
2026-05-14 17:05:04.672,347.138,15
2026-05-14 17:05:11.041,347.138,67
2026-05-14 17:05:11.677,347.138,210
2026-05-14 17:05:12.314,347.138,228
2026-05-14 17:05:12.951,347.138,220
2026-05-14 17:05:13.588,347.138,114
2026-05-14 17:05:14.225,347.138,21
2026-05-14 17:05:14.862,347.138,32
2026-05-14 17:05:15.499,347.138,80
2026-05-14 17:05:16.136,347.138,200
2026-05-14 17:05:16.773,347.138,207
2026-05-14 17:05:17.409,347.138,183
2026-05-14 17:05:18.046,347.138,27
2026-05-14 17:06:21.098,347.138,10
2026-05-14 17:06:21.735,347.138,42
2026-05-14 17:06:22.372,347.138,10
2026-05-14 17:06:26.193,347.138,55
2026-05-14 17:06:26.830,347.138,64
2026-05-14 17:06:27.467,347.138,55
2026-05-14 17:05:02.761,347.255,58
2026-05-14 17:05:03.398,347.255,75
2026-05-14 17:05:04.035,347.255,58
2026-05-14 17:05:11.041,347.255,22
2026-05-14 17:05:11.677,347.255,208
2026-05-14 17:05:12.314,347.255,230
2026-05-14 17:05:12.951,347.255,220
2026-05-14 17:05:13.588,347.255,76
2026-05-14 17:05:14.225,347.255,100
2026-05-14 17:05:14.862,347.255,122
2026-05-14 17:05:15.499,347.255,168
2026-05-14 17:05:16.136,347.255,211
2026-05-14 17:05:16.773,347.255,210
2026-05-14 17:05:17.409,347.255,195
2026-05-14 17:05:18.046,347.255,57
2026-05-14 17:06:26.830,347.255,15
2026-05-14 17:05:02.761,347.371,65
2026-05-14 17:05:03.398,347.371,104
2026-05-14 17:05:04.035,347.371,65
2026-05-14 17:05:11.041,347.371,31
2026-05-14 17:05:11.677,347.371,149
2026-05-14 17:05:12.314,347.371,176
2026-05-14 17:05:12.951,347.371,155
2026-05-14 17:05:13.588,347.371,59
2026-05-14 17:05:14.225,347.371,114
2026-05-14 17:05:14.862,347.371,144
2026-05-14 17:05:15.499,347.371,198
2026-05-14 17:05:16.136,347.371,246
2026-05-14 17:05:16.773,347.371,245
2026-05-14 17:05:17.409,347.371,207
2026-05-14 17:05:18.046,347.371,22
2026-05-14 17:06:05.176,347.371,31
2026-05-14 17:06:05.813,347.371,118
2026-05-14 17:06:06.450,347.371,67
2026-05-14 17:06:07.087,347.371,10
2026-05-14 17:06:21.735,347.371,15
2026-05-14 17:05:02.124,347.488,24
2026-05-14 17:05:02.761,347.488,165
2026-05-14 17:05:03.398,347.488,183
2026-05-14 17:05:04.035,347.488,165
2026-05-14 17:05:04.672,347.488,24
2026-05-14 17:05:11.041,347.488,21
2026-05-14 17:05:11.677,347.488,139
2026-05-14 17:05:12.314,347.488,154
2026-05-14 17:05:12.951,347.488,139
2026-05-14 17:05:13.588,347.488,36
