,ust_market_cap_usd
2023-03-14 00:00:00,232438992.23537028
2023-03-17 00:00:00,220350964.39250255
2023-03-20 00:00:00,230161208.54501885
2023-03-23 00:00:00,208167223.94749182
2023-03-26 00:00:00,226928321.81342053
2023-03-29 00:00:00,208513972.36571017
2023-04-01 00:00:00,210868814.39437327
2023-04-04 00:00:00,206806173.4017495
2023-04-07 00:00:00,211115262.75072062
2023-04-10 00:00:00,211708885.8845709
2023-04-13 00:00:00,219516782.84578168
2023-04-16 00:00:00,220754793.3712311
2023-04-19 00:00:00,222211745.02345353
2023-04-22 00:00:00,190821541.3147542
2023-04-25 00:00:00,193917285.7259378
2023-04-28 00:00:00,194063491.39530262
2023-05-01 00:00:00,201544155.63848028
2023-05-04 00:00:00,191252733.42636532
2023-05-07 00:00:00,175851905.58542666
2023-05-10 00:00:00,153468227.93250668
2023-05-13 00:00:00,147188552.5336262
2023-05-16 00:00:00,149137736.96440214
2023-05-19 00:00:00,147465430.27731508
2023-05-22 00:00:00,144424637.47231808
2023-05-25 00:00:00,138086031.98744848
2023-05-28 00:00:00,139927307.42174882
2023-05-31 00:00:00,136750446.76544455
2023-06-03 00:00:00,131747981.01014298
2023-06-06 00:00:00,125222046.1216917
2023-06-09 00:00:00,128140058.60554484
2023-06-12 00:00:00,106210447.47454767
2023-06-15 00:00:00,118308692.99148676
2023-06-18 00:00:00,120456740.359651
2023-06-21 00:00:00,118694910.51240946
2023-06-24 00:00:00,122732400.42552264
2023-06-27 00:00:00,131519305.07214513
2023-06-30 00:00:00,120509042.69361609
2023-07-03 00:00:00,122366113.31523727
2023-07-06 00:00:00,119859229.37316987
2023-07-09 00:00:00,117769905.94820876
2023-07-12 00:00:00,118447377.2598201
2023-07-15 00:00:00,127299251.53421058
2023-07-18 00:00:00,168199751.56968328
2023-07-21 00:00:00,163408096.52436748
2023-07-24 00:00:00,166877169.10191604
2023-07-27 00:00:00,154486541.70183063
2023-07-30 00:00:00,152746917.61249208
2023-08-02 00:00:00,142779505.1612161
2023-08-05 00:00:00,144328929.788643
2023-08-08 00:00:00,155977022.22288635
2023-08-11 00:00:00,148375219.01727062
2023-08-14 00:00:00,145375977.1419556
2023-08-17 00:00:00,128457077.36368538
2023-08-20 00:00:00,125904205.83045694
2023-08-23 00:00:00,124349590.74515931
2023-08-26 00:00:00,122464840.56818113
2023-08-29 00:00:00,123309260.9100254
2023-09-01 00:00:00,117540483.32169689
2023-09-04 00:00:00,115183934.21240556
2023-09-07 00:00:00,117138203.77636282
2023-09-10 00:00:00,130013416.27966522
2023-09-13 00:00:00,118504997.79498143
2023-09-16 00:00:00,124159230.77635802
2023-09-19 00:00:00,122206423.48068446
2023-09-22 00:00:00,121510684.87742697
2023-09-25 00:00:00,123252199.33765009
2023-09-28 00:00:00,129308036.07198621
2023-10-01 00:00:00,125695301.15881501
2023-10-04 00:00:00,119932242.46262683
2023-10-07 00:00:00,117430191.61854735
2023-10-10 00:00:00,109622430.05447516
2023-10-13 00:00:00,107639951.55770804
2023-10-17 00:00:00,114308680.30781616
2023-10-20 00:00:00,104697188.32189704
2023-10-23 00:00:00,111153560.23003031
2023-10-26 00:00:00,112809289.6675028
2023-10-29 00:00:00,109598861.41335618
2023-11-01 00:00:00,106841166.81465964
2023-11-04 00:00:00,102660256.10933943
2023-11-07 00:00:00,106699337.7970772
2023-11-10 00:00:00,109620797.4012489
2023-11-13 00:00:00,130031157.32790413
2023-11-16 00:00:00,124158226.92180209
2023-11-19 00:00:00,117062326.02820274
2023-11-22 00:00:00,112656773.35906671
2023-11-25 00:00:00,120250867.05972931
2023-11-28 00:00:00,407713284.5867878
2023-12-01 00:00:00,464922022.75063
2023-12-04 00:00:00,552326635.5687635
2023-12-07 00:00:00,414223725.2723929
2023-12-10 00:00:00,368329705.54779625
2023-12-13 00:00:00,358723067.7921172
2023-12-16 00:00:00,335680259.3349932
2023-12-19 00:00:00,301750293.745556
2023-12-22 00:00:00,311713831.5270998
2023-12-25 00:00:00,306678512.8418831
2023-12-28 00:00:00,304274110.9132749
2023-12-31 00:00:00,296155581.32428294
2024-01-03 00:00:00,289850484.79422516
2024-01-06 00:00:00,251688696.5089818
2024-01-09 00:00:00,237089582.01789606
2024-01-12 00:00:00,240728259.08157185
2024-01-15 00:00:00,239493538.8493206
2024-01-18 00:00:00,270179110.80455077
2024-01-21 00:00:00,240307700.41754082
2024-01-24 00:00:00,211569130.74462968
2024-01-27 00:00:00,226382521.68892196
2024-01-30 00:00:00,238015253.24134856
2024-02-02 00:00:00,216379985.6796105
2024-02-05 00:00:00,226767938.789713
2024-02-08 00:00:00,232197771.33479548
2024-02-11 00:00:00,241037775.93049377
2024-02-14 00:00:00,236564494.58913508
2024-02-17 00:00:00,286432980.9242994
2024-02-20 00:00:00,299493550.69290924
2024-02-23 00:00:00,267958846.07600152
2024-02-26 00:00:00,346818036.5348657
2024-02-29 00:00:00,313584194.4268748
2024-03-03 00:00:00,354247894.35306185
2024-03-06 00:00:00,329807287.0707294
2024-03-09 00:00:00,321916098.62021095
2024-03-12 00:00:00,318610615.83919585
2024-03-15 00:00:00,306284490.54359275
2024-03-18 00:00:00,263068798.1331787
2024-03-21 00:00:00,244945585.0585898
2024-03-24 00:00:00,259916333.24778923
2024-03-27 00:00:00,267271027.27860218
2024-03-30 00:00:00,253271580.4722618
2024-04-02 00:00:00,243628280.9509194
2024-04-05 00:00:00,229429869.57313424
2024-04-08 00:00:00,234279195.74980134
2024-04-11 00:00:00,225400047.19388166
2024-04-14 00:00:00,146225616.87208432
2024-04-17 00:00:00,152880211.310574
2024-04-20 00:00:00,154972531.35308164
2024-04-23 00:00:00,178271545.92436522
2024-04-26 00:00:00,170774426.45192802
2024-04-29 00:00:00,169891719.1858498
2024-05-02 00:00:00,161347284.74649614
2024-05-05 00:00:00,175243703.68359745
2024-05-08 00:00:00,188159989.8607176
2024-05-11 00:00:00,155572411.09894815
2024-05-14 00:00:00,151496480.39802688
2024-05-17 00:00:00,150158966.92886695
2024-05-20 00:00:00,144041432.31277397
2024-05-23 00:00:00,160351370.33181766
2024-05-26 00:00:00,154258230.03709787
2024-05-29 00:00:00,153447444.06663194
2024-06-01 00:00:00,166069546.02675375
2024-06-04 00:00:00,157748347.128238
2024-06-07 00:00:00,171487452.86754948
2024-06-10 00:00:00,150476863.65590402
2024-06-13 00:00:00,144443949.65351465
2024-06-16 00:00:00,115221385.66463554
2024-06-19 00:00:00,111407380.68465966
2024-06-22 00:00:00,106448724.82144694
2024-06-25 00:00:00,102017991.13792042
2024-06-28 00:00:00,103867102.8662384
2024-07-01 00:00:00,100863626.16303861
2024-07-04 00:00:00,95581176.78970188
2024-07-07 00:00:00,87087885.93978232
2024-07-10 00:00:00,88576285.13220698
2024-07-13 00:00:00,89843607.4814033
2024-07-16 00:00:00,98901323.12724288
2024-07-19 00:00:00,110612265.87238175
2024-07-22 00:00:00,113782164.25961922
2024-07-25 00:00:00,109721251.4051511
2024-07-28 00:00:00,110414539.78718615
2024-07-31 00:00:00,105557856.38340053
2024-08-03 00:00:00,92058989.41676266
2024-08-06 00:00:00,75121686.16538052
2024-08-09 00:00:00,87769167.50514305
2024-08-12 00:00:00,87380958.03117132
2024-08-15 00:00:00,89700101.44109397
2024-08-18 00:00:00,87178908.80209664
2024-08-21 00:00:00,90889781.92197329
2024-08-24 00:00:00,101023197.46287282
2024-08-27 00:00:00,107125459.83421732
2024-08-30 00:00:00,96886730.11259508
2024-09-02 00:00:00,87666168.9328468
2024-09-05 00:00:00,92253302.95347147
2024-09-08 00:00:00,89418830.04772219
2024-09-11 00:00:00,98952835.37004934
2024-09-14 00:00:00,100431474.35626727
2024-09-17 00:00:00,95534257.71851492
2024-09-20 00:00:00,102955532.56612334
2024-09-23 00:00:00,102552485.85681702
2024-09-26 00:00:00,104330096.87546861
2024-09-29 00:00:00,109280366.75916687
2024-10-03 00:00:00,129140827.9914868
2024-10-06 00:00:00,134534960.78429797
2024-10-09 00:00:00,124723189.01573394
2024-10-12 00:00:00,123676377.71751289
2024-10-15 00:00:00,127414219.18177487
2024-10-18 00:00:00,122723229.03089744
2024-10-21 00:00:00,128894474.25422965
2024-10-24 00:00:00,128272608.14081866
2024-10-27 00:00:00,121540487.7620139
2024-10-30 00:00:00,131347302.63854149
2024-11-02 00:00:00,129620196.58224311
2024-11-05 00:00:00,110799204.2945044
2024-11-08 00:00:00,128303985.93153338
2024-11-11 00:00:00,137560282.3792936
2024-11-14 00:00:00,124442341.08476774
2024-11-17 00:00:00,137418212.48421624
2024-11-20 00:00:00,128361836.33802015
2024-11-23 00:00:00,133692287.34509243
2024-11-26 00:00:00,133577811.16233757
2024-11-29 00:00:00,141420719.6197973
2024-12-02 00:00:00,145243314.77313343
2024-12-05 00:00:00,160633559.1844247
2024-12-08 00:00:00,165380603.049655
2024-12-11 00:00:00,123824694.51949488
2024-12-14 00:00:00,136389890.74237287
2024-12-17 00:00:00,130039758.16082945
2024-12-20 00:00:00,104447560.58326088
2024-12-23 00:00:00,100551502.67397128
2024-12-26 00:00:00,108435605.78676428
2024-12-29 00:00:00,115578684.48044656
2025-01-01 00:00:00,108071772.52518582
2025-01-04 00:00:00,116688000.54072852
2025-01-07 00:00:00,119003407.17403202
2025-01-10 00:00:00,102077923.08409879
2025-01-13 00:00:00,101412126.83950666
2025-01-16 00:00:00,105900158.18326746
2025-01-19 00:00:00,100715425.12406082
2025-01-22 00:00:00,89618706.06155396
2025-01-25 00:00:00,86476075.72694564
2025-01-28 00:00:00,83271561.08808367
2025-01-31 00:00:00,83417447.90019394
2025-02-03 00:00:00,68135155.4806844
2025-02-06 00:00:00,62988424.162588485
2025-02-09 00:00:00,69490688.33962716
2025-02-12 00:00:00,98067269.71503775
2025-02-15 00:00:00,96822419.41103618
2025-02-18 00:00:00,106135824.26900473
2025-02-21 00:00:00,96935368.75276642
2025-02-24 00:00:00,90989705.41341478
2025-02-27 00:00:00,82787629.15052654
2025-03-02 00:00:00,83137226.46551248
2025-03-05 00:00:00,72730968.14993992
2025-03-08 00:00:00,68923038.3582935
2025-03-11 00:00:00,62364234.637672916
2025-03-14 00:00:00,67195461.92234805
2025-03-17 00:00:00,71328073.46125986
2025-03-20 00:00:00,73281797.24187475
2025-03-23 00:00:00,72108308.33739999
2025-03-26 00:00:00,75625627.29159969
2025-03-29 00:00:00,66935065.96546612
2025-04-01 00:00:00,63813385.3769327
2025-04-04 00:00:00,66845335.35438427
2025-04-07 00:00:00,61378965.76818855
2025-04-10 00:00:00,64468847.675651684
2025-04-13 00:00:00,66971733.19456407
2025-04-16 00:00:00,62278561.064636365
2025-04-19 00:00:00,68298854.50843869
2025-04-22 00:00:00,66662694.8658877
2025-04-25 00:00:00,73949490.65796314
2025-04-28 00:00:00,73208347.23717935
2025-05-01 00:00:00,70968089.40937917
2025-05-04 00:00:00,66254642.666078806
2025-05-07 00:00:00,65287851.05852212
2025-05-10 00:00:00,76348988.45925713
2025-05-13 00:00:00,78507744.25924712
2025-05-16 00:00:00,75042833.89478998
2025-05-19 00:00:00,73435052.52069402
2025-05-22 00:00:00,72997899.48503156
2025-05-25 00:00:00,71046205.66189529
2025-05-28 00:00:00,72268830.41197075
2025-05-31 00:00:00,62907395.83440989
2025-06-03 00:00:00,67235759.46121469
2025-06-06 00:00:00,62304633.856865734
2025-06-09 00:00:00,66586146.21578111
2025-06-12 00:00:00,68222642.89384168
2025-06-15 00:00:00,68672693.62011126
2025-06-18 00:00:00,68567373.0955989
2025-06-21 00:00:00,68717549.23464437
2025-06-24 00:00:00,68520712.58476608
2025-06-27 00:00:00,68123129.26796606
2025-06-30 00:00:00,71976478.8564473
2025-07-03 00:00:00,73304598.99534832
2025-07-06 00:00:00,69414052.2403966
2025-07-09 00:00:00,71412805.79977001
2025-07-12 00:00:00,75279934.97306572
2025-07-15 00:00:00,79812024.4975053
