date,USDT0,USDe,USDY,USDC,AUSD
2025-06-11,376263025.0,58398696.0,26450126.0,22810781.0,6789941.0
2025-06-12,377759721.0,57288333.0,26474369.0,22811338.0,6786410.0
2025-06-13,377759721.0,60943112.0,26489500.0,22817410.0,6789065.0
2025-06-14,378029546.0,58564505.0,26534109.0,22834644.0,6788888.0
2025-06-15,378029139.0,57713426.0,26485597.0,22828416.0,6788128.0
2025-06-16,378029139.0,57172793.0,26534008.0,22833585.0,6787978.0
2025-06-17,378029139.0,64558406.0,26558244.0,22826973.0,6787639.0
2025-06-18,379981031.0,63165835.0,26594045.0,22826227.0,6786627.0
2025-06-19,379981007.0,61550449.0,26584923.0,22820316.0,6593461.0
2025-06-20,387581516.0,49482960.0,26650945.0,22824734.0,6593277.0
2025-06-21,389746218.0,46794950.0,26690486.0,22819090.0,6594108.0
2025-06-22,389746218.0,45466998.0,26337107.0,22869637.0,6589220.0
2025-06-23,390135965.0,45296848.0,26532237.0,22866284.0,6594227.0
2025-06-24,389830915.0,44730462.0,26581023.0,22876363.0,6575130.0
2025-06-25,389830917.0,44045918.0,26944624.0,22879413.0,6596212.0
2025-06-26,389830917.0,47716618.0,26684258.0,22874058.0,6595394.0
2025-06-27,389830917.0,56963031.0,26610099.0,22872287.0,6595487.0
2025-06-28,369830917.0,57832400.0,26781871.0,22870954.0,6594820.0
2025-06-29,369830917.0,57698446.0,26585847.0,22872441.0,6596206.0
2025-06-30,370683799.0,56354078.0,26732865.0,22879090.0,6592136.0
2025-07-01,370683799.0,55448716.0,26757383.0,22878253.0,6594227.0
2025-07-02,370723799.0,54251745.0,26708377.0,22872412.0,6594675.0
2025-07-03,370723799.0,55293164.0,26830892.0,22868761.0,6563617.0
2025-07-04,370723799.0,54444661.0,26757130.0,22874795.0,6562336.0
2025-07-05,370813799.0,53242983.0,26732638.0,24269178.0,6564365.0
2025-07-06,376422428.0,49440408.0,26757154.0,24268111.0,6561417.0
2025-07-07,378252070.0,46091940.0,26732651.0,24298204.0,6564031.0
2025-07-08,378268684.0,52625584.0,26757131.0,24294823.0,6563387.0
2025-07-09,390845840.0,45573392.0,26756105.0,24299247.0,6564523.0
2025-07-10,392130314.0,45678100.0,26633564.0,24293521.0,6566424.0
2025-07-11,392145607.0,53168697.0,27197107.0,24302593.0,6566601.0
2025-07-12,392145607.0,52485303.0,26780475.0,24305979.0,6565550.0
2025-07-13,392145606.0,71073616.0,26904323.0,24307734.0,6565405.0
2025-07-14,392145606.0,71824873.0,26584619.0,24301302.0,6567284.0
2025-07-15,392145606.0,71423618.0,26950384.0,24296359.0,6568611.0
2025-07-16,392145199.0,71986802.0,26916377.0,24392778.0,6565839.0
2025-07-17,392145199.0,71821355.0,26965765.0,24393360.0,6566896.0
2025-07-18,397293415.0,70049603.0,27039963.0,24256006.0,6565458.0
2025-07-19,407616493.0,61170177.0,27191981.0,24258781.0,6568434.0
2025-07-20,407616493.0,61134247.0,27230749.0,24256644.0,6566207.0
2025-07-21,410391152.0,60841416.0,27316176.0,24254889.0,6568729.0
2025-07-22,410451152.0,56922373.0,27266057.0,24259480.0,6567540.0
2025-07-23,411450442.0,56093893.0,27010752.0,24357597.0,6567494.0
2025-07-24,411620442.0,63797096.0,27650915.0,24356097.0,6565721.0
2025-07-25,411724333.0,60062872.0,27720008.0,24358161.0,6567567.0
2025-07-26,391801961.0,66617263.0,27669286.0,24405449.0,6567317.0
2025-07-27,391801961.0,66573985.0,27592113.0,24404057.0,6568729.0
2025-07-28,399285838.0,76999432.0,27617465.0,24555531.0,6564519.0
2025-07-29,400829998.0,72417235.0,27565657.0,24552719.0,6566805.0
2025-07-30,400957700.0,61110558.0,27641735.0,24570840.0,6566272.0
2025-07-31,414258154.0,86099318.0,27616376.0,26589963.0,6564295.0
2025-08-01,415559308.0,89586306.0,28148923.0,32083887.0,6566141.0
2025-08-02,417258166.0,81265379.0,27260854.0,42557552.0,6565701.0
2025-08-03,418121241.0,79019344.0,27641238.0,47439094.0,6560052.0
2025-08-04,429626203.0,62220363.0,27413008.0,51147413.0,6562055.0
2025-08-05,431113347.0,137222534.0,27514443.0,63514102.0,6565471.0
2025-08-06,431725448.0,108289253.0,27362290.0,76147156.0,6566207.0
2025-08-07,440593885.0,99071331.0,27894827.0,77956788.0,6567916.0
2025-08-08,422696119.0,128974768.0,27693182.0,65971673.0,6568140.0
2025-08-09,426755232.0,150383059.0,27288350.0,74480348.0,6567785.0
2025-08-10,433398265.0,116483249.0,27339025.0,75326630.0,6566780.0
2025-08-11,433396983.0,97522494.0,27415136.0,86453059.0,6563901.0
2025-08-12,433302974.0,115757771.0,27440474.0,97887685.0,6561522.0
2025-08-13,433415662.0,110401271.0,27313787.0,106439722.0,6584674.0
2025-08-14,435842256.0,143118768.0,27491149.0,115332147.0,6571531.0
2025-08-15,419871946.0,137400901.0,27466606.0,85099959.0,6563303.0
2025-08-16,425077478.0,128220572.0,27322569.0,50046718.0,6565439.0
2025-08-17,425077478.0,115387994.0,27603882.0,50047419.0,6566852.0
