date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2026-01-07 00:00:00.000 UTC,polygon,10599984,-4466525.30116,475898049,-299591421.72458637,176306627.27541363
2026-01-07 00:00:00.000 UTC,avalanche,411000,-405928,125295200,-44320524.03398158,80974675.96601842
2026-01-07 00:00:00.000 UTC,ethereum,371175,,94246175,-30752890,63493285
2026-01-08 00:00:00.000 UTC,avalanche,1029000,-21820,126324200,-44342344.03398158,81981855.96601842
2026-01-08 00:00:00.000 UTC,ethereum,426000,-502497,94672175,-31255387,63416788
2026-01-08 00:00:00.000 UTC,polygon,15132998,-8465341,491031047,-308056762.72458637,182974284.27541363
2026-01-09 00:00:00.000 UTC,ethereum,3109000,-390495.7667282458,97781175,-31645882.766728245,66135292.233271755
2026-01-09 00:00:00.000 UTC,polygon,9227005,-5622484,500258052,-313679246.72458637,186578805.27541363
2026-01-09 00:00:00.000 UTC,avalanche,1833000,-6000,128157200,-44348344.03398158,83808855.96601842
2026-01-10 00:00:00.000 UTC,polygon,3572500,-6514124,503830552,-320193370.72458637,183637181.27541363
2026-01-10 00:00:00.000 UTC,avalanche,166000,-272830,128323200,-44621174.03398158,83702025.96601842
2026-01-10 00:00:00.000 UTC,ethereum,1299000,-200032.99999999997,99080175,-31845915.766728245,67234259.23327175
2026-01-11 00:00:00.000 UTC,avalanche,19000,-166359,128342200,-44787533.03398158,83554666.96601842
2026-01-11 00:00:00.000 UTC,ethereum,1345000,-144883,100425175,-31990798.766728245,68434376.23327175
2026-01-11 00:00:00.000 UTC,polygon,4254000,-5027371.689148386,508084552,-325220742.41373473,182863809.58626524
2026-01-12 00:00:00.000 UTC,ethereum,1056000,-130654,101481175,-32121452.766728245,69359722.23327175
2026-01-12 00:00:00.000 UTC,polygon,7544934,-7062563,515629486,-332283305.41373473,183346180.58626524
2026-01-12 00:00:00.000 UTC,avalanche,1186000,-696999.9999999999,129528200,-45484533.03398158,84043666.96601842
2026-01-13 00:00:00.000 UTC,polygon,10811117,-6453585,526440603,-338736890.41373473,187703712.58626524
