time,fundingRate,close
2026-07-14 21:00:00+00:00,9.87866e-05,1366.0
2026-07-14 22:00:00+00:00,6.25e-06,1363.6
2026-07-14 23:00:00+00:00,-0.0002308033,1414.3
2026-07-15 00:00:00+00:00,6.25e-06,1436.7
2026-07-15 01:00:00+00:00,-5.96348e-05,1414.0
2026-07-15 02:00:00+00:00,-8.54769e-05,1415.5
2026-07-15 03:00:00+00:00,-7.81004e-05,1447.8
2026-07-15 04:00:00+00:00,-7.34388e-05,1439.0
2026-07-15 05:00:00+00:00,-5.14278e-05,1421.5
2026-07-15 06:00:00+00:00,-4.699e-07,1390.1
2026-07-15 07:00:00+00:00,-0.0001715126,1376.2
2026-07-15 08:00:00+00:00,-3.12336e-05,1364.2
2026-07-15 09:00:00+00:00,-1.5e-05,1361.7
2026-07-15 10:00:00+00:00,-7.02953e-05,1361.2
2026-07-15 11:00:00+00:00,8.03675e-05,1364.0
2026-07-15 12:00:00+00:00,0.0001506818,1340.4
2026-07-15 13:00:00+00:00,-6.61085e-05,1350.8
2026-07-15 14:00:00+00:00,-0.0002963516,1308.4
2026-07-15 15:00:00+00:00,-0.0006865119,1308.6
2026-07-15 16:00:00+00:00,-0.0001371412,1286.4
2026-07-15 17:00:00+00:00,-0.0005828263,1302.8
2026-07-15 18:00:00+00:00,0.000308547,1301.3
2026-07-15 19:00:00+00:00,0.0001934509,1315.0
2026-07-15 20:00:00+00:00,0.0001155823,1325.3
2026-07-15 21:00:00+00:00,0.0001442237,1319.1
2026-07-15 22:00:00+00:00,2.50761e-05,1303.3
2026-07-15 23:00:00+00:00,-0.0003511508,1278.3
