,Ethereum,Solana,Base,BSC,Tron,Others
2024-06-30,61.56752882474386,4.6865772746910235,1.620580446882529,5.184266847496414,8.611011384625403,18.330035221560767
2024-07-07,60.82412040223621,4.926347997710232,1.5680848031184633,5.180989061921089,8.751903769569575,18.748553965444426
2024-07-14,60.509607895554474,5.02922785137234,1.547665739353176,5.115176993190112,8.912409352763405,18.885912167766495
2024-07-21,60.13294840299052,5.166061923427824,1.665031257497203,5.016583215164715,8.87590717783582,19.143468023083916
2024-07-28,59.18851364465898,5.592767865910791,1.720629931290775,5.010389292861185,9.101578416214364,19.386120849063904
2024-08-04,59.308749711543314,5.610254407270681,1.7204386627585126,5.0875544139126925,9.136453028183311,19.13654977633149
2024-08-11,58.08543205846456,5.955700683487252,1.6856386300268207,5.27734486542103,9.749906792988002,19.245976969612332
2024-08-18,57.95135363549299,5.867566045799272,1.7245471749516461,5.226096928437384,9.749812798477164,19.480623416841542
2024-08-25,57.37340128996509,5.962089202020877,1.7802811280709048,5.313087814206493,10.125431502544112,19.44570906319253
2024-09-01,56.69354245374343,6.174275138027487,1.8238587099839851,5.284161704254282,10.51935060661772,19.504811387373092
2024-09-08,56.88103768903253,5.98264130491627,1.8324216619473377,5.343253909343852,10.42596456820928,19.534680866550733
2024-09-15,56.4934500763979,6.010993839204649,1.8043047032628101,5.473036329732017,10.369352449561973,19.848862601840647
2024-09-22,56.384461103835235,5.958103206435468,1.8999327183198156,5.538312428592783,10.306443001698494,19.9127475411182
2024-09-29,56.83552552360407,6.00440205710747,2.0723032327280237,5.490739253151942,9.500168706824374,20.09686122658412
2024-10-06,56.1040939977948,6.382320350036523,2.274138436686159,5.515153235258891,9.715467566686064,20.00882641353756
2024-10-13,56.0003781574438,6.7082830902394734,2.4207786144233405,5.59831288743304,9.234357062334114,20.03789018812623
2024-10-20,56.2003255522924,7.043514856937278,2.4532128276471568,5.499375647557023,8.681977196922428,20.121593918643708
2024-10-27,55.089897316924365,7.363856335481485,2.4222859155234633,5.380377651155277,8.34741961735543,21.39616316355998
2024-11-03,55.41253489742495,7.018473918652435,2.5083273885415918,5.295620086098827,8.14385749045276,21.621186218829443
2024-11-10,56.23125281180655,7.080744377700122,2.541887993956029,5.114170901356512,7.692091113866899,21.339852801313892
2024-11-17,56.30890669665765,7.46055873130375,2.558767471999052,4.961823699263325,7.254000967197787,21.455942433578436
2024-11-24,55.41663315812257,8.248991137646758,2.511758246629037,4.825707990335615,7.3169039221789935,21.68000554508703
2024-12-01,56.639061926721276,7.858032735488493,2.528711287726972,4.631204346940957,6.794449573663411,21.548540129458893
2024-12-08,56.85448436796624,7.339434780635324,2.536615972347964,4.444124289193337,7.617612943772609,21.20772764608452
2024-12-15,57.71959351078329,7.2595476205242235,2.6532235495781302,4.340727388373797,6.431226491526654,21.5956814392139
2024-12-22,56.74351385802963,7.044291243208703,2.6338763547946997,4.477957917881647,6.180218393570573,22.920142232514745
2024-12-29,56.58704694305413,7.164044136250401,2.6991377172146733,4.705419914207283,6.267338214988189,22.577013074285322
2025-01-05,56.54066146803554,7.47517967541671,2.793830412764613,4.658308388465518,6.308321646947727,22.22369840836989
2025-01-12,56.40168413886728,7.520623887274552,2.77950917689524,4.6758362389177135,6.168858922571611,22.4534876354736
2025-01-19,56.08268183057458,7.931608556227117,2.739700053795587,4.71229551621594,5.871695412288988,22.66201863089779
2025-01-26,54.71442497437825,9.571128615493055,2.706750696301213,4.5679141416050895,6.0167879539974125,22.422993618224975
2025-02-02,54.89764813407197,9.29154141050975,2.6953113298915086,4.591825904150105,5.975883659430941,22.547789561945727
2025-02-09,55.30125486588094,8.8475197172853,2.627792789074252,4.70295948960696,5.32513865146648,23.195334486686072
2025-02-16,54.79944963552862,8.415986104893094,2.591952251837239,4.940034375335375,5.30982914408004,23.942748488325638
2025-02-23,55.23186081175457,7.79483216181372,2.6461858727803156,5.107137965513422,4.855967388032939,24.36401580010504
2025-03-02,54.469926969541895,7.48383207716294,2.683936689714362,5.22598737662701,5.005304201135904,25.131012685817893
2025-03-09,54.1880929889685,7.64894401489404,2.6693333818683285,5.196136571838123,4.708848861195113,25.588644181235896
2025-03-16,53.721434972456905,7.55181100816892,2.680662423847766,5.498746505251861,4.964425335061177,25.58291975521337
2025-03-23,53.503260671077705,7.461426467270144,2.929550679963981,5.834292259151892,5.038001093489675,25.233468829046608
2025-03-30,53.519506613548906,7.4214520902575405,2.8828600523413472,5.690851284821513,4.8955802274033555,25.589749731627332
2025-04-06,52.89090200985597,7.251652085916989,2.938060325719943,5.733559950907043,5.543223409379341,25.642602218220706
