date,coin,notional_usd
2026-06-10,XLE,955747.719755
2026-06-10,XYZ100,889135417.142625
2026-06-10,ZM,360920.0112445
2026-06-11,AAPL,7822485.653999999
2026-06-11,AMD,24583814.700435
2026-06-11,AMZN,7204120.54123
2026-06-11,ARM,4848236.9436
2026-06-11,ASML,1666728.2184000001
2026-06-11,AVGO,2261314.5993999997
2026-06-11,BABA,7178715.833899999
2026-06-11,BB,5300412.0119025
2026-06-11,BIRD,492977.9273975
2026-06-11,BRENTOIL,385947615.10046
2026-06-11,BX,182050.0505
2026-06-11,CBRS,12451657.908500003
2026-06-11,CL,729216063.7700701
2026-06-11,COIN,4529820.8635100005
2026-06-11,COPPER,20128148.655720003
2026-06-11,COST,79591.55076425
2026-06-11,CRCL,17384751.496612497
2026-06-11,CRWV,8834563.648455
2026-06-11,DELL,679172.05125
2026-06-11,DKNG,380800.51157250005
2026-06-11,DRAM,27091185.103125
2026-06-11,EBAY,155366.48475
2026-06-11,EUR,2085906.70769
2026-06-11,EWJ,1668800.460957
2026-06-11,EWT,113977.15090000001
2026-06-11,EWY,32501905.2371
2026-06-11,EWZ,65775.97922
2026-06-11,GBP,74012.1816
2026-06-11,GME,1032325.72857
2026-06-11,GOLD,109600935.71762249
2026-06-11,GOOGL,19123935.13116
2026-06-11,HIMS,2808165.5458500003
2026-06-11,HOOD,14110591.986303749
2026-06-11,HYUNDAI,1915607.9205
2026-06-11,IBM,418012.4382
2026-06-11,INTC,127230563.48730001
2026-06-11,JP225,3664034.6976925
2026-06-11,JPY,1853475.928425
2026-06-11,KR200,652519.56384
2026-06-11,LITE,8450807.865367498
2026-06-11,LLY,2923547.7636675006
2026-06-11,META,10926394.600484999
2026-06-11,MRVL,96855066.588875
2026-06-11,MSFT,10399059.37106
2026-06-11,MSTR,18372655.78125
2026-06-11,MU,205912689.34927502
2026-06-11,NATGAS,9263770.90342
2026-06-11,NBIS,2713331.8476
2026-06-11,NFLX,819124.6271785
2026-06-11,NOW,293628.24675000005
2026-06-11,NVDA,64966288.930237494
2026-06-11,ORCL,39666226.363905005
2026-06-11,PALLADIUM,961734.357345
2026-06-11,PLATINUM,1603737.7086400003
2026-06-11,PLTR,5389742.040119999
2026-06-11,PURRDAT,5628407.6088
2026-06-11,QNT,8795747.56815
2026-06-11,RIVN,1505033.4974025
2026-06-11,RKLB,8231967.47875
2026-06-11,SILVER,269038383.7846875
2026-06-11,SKHX,127594772.32319997
2026-06-11,SMSN,27004685.78592
2026-06-11,SNDK,159417026.55900002
2026-06-11,SP500,825141439.808
2026-06-11,SPCX,127382457.10925
2026-06-11,TSLA,41398256.846625
2026-06-11,TSM,5038065.984105
2026-06-11,URNM,323963.85348
2026-06-11,USAR,1577683.529085
2026-06-11,WDC,50572.17808
2026-06-11,XLE,497605.5151575001
2026-06-11,XYZ100,637448625.0702499
2026-06-11,ZM,486921.02671850007
2026-06-12,AAPL,4422841.416
2026-06-12,AMD,36544240.338502504
2026-06-12,AMZN,7360892.827665
2026-06-12,ARM,7608360.34
2026-06-12,ASML,944508.9776249999
2026-06-12,AVGO,1252901.7467999998
2026-06-12,BABA,1408996.49418
2026-06-12,BB,4498580.993749999
2026-06-12,BIRD,60650.22776
2026-06-12,BRENTOIL,277206680.51351005
2026-06-12,BX,207014.2668
2026-06-12,CBRS,15383224.119199999
2026-06-12,CL,552508242.9572738
