blockchain,date,rev_usd,tps,spot_dex_volume_usd,circulating_stablecoin_supply_usd,median_fee_usd,color_code,title,rnk
arbitrum,2023-11-10T00:00:00+00:00,240603.38189555978,8.297458664021164,524553493.055827,2005308818.227847,0.17463312328133224,#78c1db,Arbitrum,6
arbitrum,2023-11-09T00:00:00+00:00,405684.52474388486,8.26038525132275,813046946.1111614,1982919731.1997128,0.16243242472890684,#78c1db,Arbitrum,6
arbitrum,2023-11-08T00:00:00+00:00,184512.97123878874,7.8819113756613755,315969705.6478411,1954501660.875373,0.14939979662267264,#78c1db,Arbitrum,6
arbitrum,2023-11-07T00:00:00+00:00,172298.53591298702,7.915031415343916,394222915.1932419,1964754830.5667262,0.146345862547344,#78c1db,Arbitrum,6
arbitrum,2023-11-06T00:00:00+00:00,154788.84070414276,7.836669973544973,357824212.9061065,1979873169.7481737,0.1409175339666044,#78c1db,Arbitrum,6
arbitrum,2023-11-05T00:00:00+00:00,118966.41592806153,7.725051256613757,357867547.54752403,1971442025.0175164,0.13508181290783539,#78c1db,Arbitrum,6
arbitrum,2023-11-04T00:00:00+00:00,114712.89762344223,7.440104166666667,217970605.55878904,1953335516.8541026,0.13196259580042766,#78c1db,Arbitrum,6
arbitrum,2023-11-03T00:00:00+00:00,136162.31516181293,7.129036044973545,361237266.4675271,1941960012.946867,0.13020401084737404,#78c1db,Arbitrum,6
arbitrum,2023-11-02T00:00:00+00:00,151671.39178347797,6.993411044973545,365895770.8652754,1922260294.5362637,0.1294296189968432,#78c1db,Arbitrum,6
arbitrum,2023-11-01T00:00:00+00:00,165512.9427543552,7.0014599867724865,471630370.0524992,1930084870.1179328,0.12834829113791765,#78c1db,Arbitrum,6
arbitrum,2023-10-31T00:00:00+00:00,124958.30026427038,6.842926587301587,274443775.2458651,1920452152.0111408,0.12679077355852159,#78c1db,Arbitrum,6
arbitrum,2023-10-30T00:00:00+00:00,103156.97257302239,7.070782076719577,262851106.82098672,1913651725.386435,0.12924582667773715,#78c1db,Arbitrum,6
arbitrum,2023-10-29T00:00:00+00:00,67676.77867876676,7.253690476190476,158432695.6483285,1929971028.5569155,0.12845340621705145,#78c1db,Arbitrum,6
arbitrum,2023-10-28T00:00:00+00:00,73345.78220495199,7.28505291005291,120489431.50500607,1927410471.5752387,0.12351322158867027,#78c1db,Arbitrum,6
arbitrum,2023-10-27T00:00:00+00:00,108322.3993390835,7.1777166005291,284688042.77047646,1907066488.7133226,0.1195034850356508,#78c1db,Arbitrum,6
arbitrum,2023-10-26T00:00:00+00:00,143216.14307217475,6.979556878306878,470901010.4154959,1889581369.484891,0.11367578286672601,#78c1db,Arbitrum,6
arbitrum,2023-10-25T00:00:00+00:00,132902.9334356623,6.618338293650794,353599879.2328601,1865026151.3647916,0.10379550542480197,#78c1db,Arbitrum,6
arbitrum,2023-10-24T00:00:00+00:00,177148.55937373842,6.342741402116402,617543132.9180194,1849199602.7905278,0.09481818020866828,#78c1db,Arbitrum,6
arbitrum,2023-10-23T00:00:00+00:00,152813.08291455542,5.8397156084656086,521427489.5568289,1816432596.48552,0.08327309130936436,#78c1db,Arbitrum,6
arbitrum,2023-10-22T00:00:00+00:00,48548.32074943859,5.740076058201058,219380576.69693157,1803196060.7549403,0.07542795569459555,#78c1db,Arbitrum,6
arbitrum,2023-10-21T00:00:00+00:00,48545.407479998416,5.518106812169312,161149148.78691784,1789743302.2251163,0.07332436056122742,#78c1db,Arbitrum,6
arbitrum,2023-10-20T00:00:00+00:00,65385.06903179625,5.336661706349206,229850232.36867356,1784880077.818858,0.06954272732639336,#78c1db,Arbitrum,6
arbitrum,2023-10-19T00:00:00+00:00,50512.70634088808,5.185069444444444,125099959.34060644,1786279232.4128938,0.0661825504403039,#78c1db,Arbitrum,6
arbitrum,2023-10-18T00:00:00+00:00,51873.66035561788,5.19202380952381,130876384.4090061,1789546874.832296,0.06482932481732194,#78c1db,Arbitrum,6
arbitrum,2023-10-17T00:00:00+00:00,49726.00341407278,5.264279100529101,132157120.20324427,1789402658.8200517,0.06210305497367987,#78c1db,Arbitrum,6
arbitrum,2023-10-16T00:00:00+00:00,100690.08409977867,5.7286359126984125,331785153.873346,1783311500.622004,0.05741256586598355,#78c1db,Arbitrum,6
arbitrum,2023-10-15T00:00:00+00:00,28946.30217567224,5.694421296296296,75894445.49007975,1760109580.7819426,0.05639180383345828,#78c1db,Arbitrum,6
arbitrum,2023-10-14T00:00:00+00:00,26871.95652802008,5.8976934523809526,49058498.947413124,1758036385.58789,0.057419619684612476,#78c1db,Arbitrum,6
arbitrum,2023-10-13T00:00:00+00:00,39321.79550242644,6.26760582010582,170820434.48090458,1754322323.8165154,0.05751006741003529,#78c1db,Arbitrum,6
arbitrum,2023-10-12T00:00:00+00:00,47316.31824743892,6.7213095238095235,180361594.9957601,1736755792.6477947,0.057449965821274415,#78c1db,Arbitrum,6
arbitrum,2023-10-11T00:00:00+00:00,49843.401802202156,6.949083994708995,163428829.82066908,1748887550.2000234,0.05786412272223073,#78c1db,Arbitrum,6
