Day,Only_BRC20_Fee,Only_Runes_Fee,Other_Inscriptions_Fee,Other_RnI_Fee,regular_tx_Fee,RnB_Fee
2025-01-03,0.6012660299999779,0.10025689000000028,0.14335024999999904,0.00188489,5.2853329100002195,7.54e-06
2025-01-04,0.6295860700000129,0.11200205000000038,0.692985180000003,0.00045442000000000003,4.495798170000162,0
2025-01-05,0.7577728900000466,0.13423534000000137,0.23859041999999617,0.00272502,4.775953460000186,0
2025-01-06,0.2839471899999938,0.14342346000000103,0.171432680000003,0.00011455,6.017667080000062,0
2025-01-07,0.36247211999998746,0.1639857199999994,0.20287083000000078,0.00012632,6.532267130000086,0
2025-01-08,0.6510221499999899,0.13708633000000017,0.279496100000001,0.00219159,6.506871480000193,0
2025-01-09,1.2635555000000036,0.18211955999999974,0.1618739699999972,0.014461660000000001,5.683162150000489,0
2025-01-10,0.5949824899999989,0.1514403599999996,0.26554858000001597,0.00022679,5.885443770000149,0
2025-01-11,0.4269821499999824,0.12782414000000009,0.2221751599999931,0.00024701,4.674015840000305,0
2025-01-12,0.3771371499999862,0.11013792000000015,0.3302808100000333,0.00048627999999999996,4.076376190000096,0
2025-01-13,0.504296560000032,0.12135252000000012,0.1807293000000156,0.00013524,6.969513550000337,0.0015666500000000028
2025-01-14,0.20767496000000343,0.11634862000000133,0.2516224300000007,0.00042863,5.969021920000071,0
2025-01-15,0.5311551199999667,0.10122896000000015,0.2044979000000103,0.00018506000000000002,6.675427450000136,0
2025-01-16,0.5828471100000023,0.12645267999999973,0.10427913000000019,0.00274727,6.531889870000138,0
2025-01-17,0.5988922899999878,0.10751050000000029,0.1907817799999976,0.0014999499999999997,8.097233520000357,0
2025-01-18,0.08377587999999765,0.5052098300000034,0.16390242000000133,0.00172548,5.417756490000122,0
2025-01-19,0.4452069299999969,0.16088341999999994,0.14177979000000185,0.00098301,5.734012360000143,0
2025-01-20,0.3788258200000031,0.23453492000000015,2.5456810900000146,0.00102559,9.211172190000168,0
2025-01-21,0.25383087999999626,0.16017012000000025,0.8360138100000167,0.0013166,8.975849330000107,0
2025-01-22,0.7252647000000128,0.15845217000000011,0.23279754000000677,0.00421877,6.545184590000054,0
2025-01-23,0.13832436999999953,0.09680354000000012,0.1102624799999988,0.00078785,6.454470200000043,0
2025-01-24,0.5963624399999844,0.1058020199999997,0.09841797000000001,0.00238159,5.663228590000165,0
2025-01-25,0.3642908399999956,0.10828821000000059,0.18984895000001195,0.0015840800000000003,4.769926460000027,0
2025-01-26,0.2478910700000052,0.08997862000000015,0.08059240000000323,0.00127674,3.778135750000049,0
2025-01-27,0.2182645100000006,0.09949435999999999,0.2088181500000014,0.0012102,5.608959320000007,0
2025-01-28,0.09310694999999783,0.07209319000000039,0.19890282999999964,0.0007507400000000001,4.359574230000176,0
2025-01-29,0.1621411199999987,0.10896693999999921,0.13292925999999833,0.00021726999999999998,4.4206108499999015,0
2025-01-30,0.0752656999999999,0.11373246999999842,0.16185894000000178,9.92e-06,4.620100469999928,0
2025-01-31,0.1129964299999996,0.10890793999999604,0.11662527000000061,0.0011574800000000002,4.603759419999981,0
2025-02-01,0.23989948999999033,0.07256865000000003,0.12004785000000674,0.00118149,4.34002126999986,0
2025-02-02,0.3532850599999986,0.07825382000000071,0.11227998000000197,0.00060194,4.019599120000153,0
2025-02-03,0.2724908599999937,0.09220770000000005,0.127455009999997,0.00018312,5.615655160000117,0
2025-02-04,0.21817005999999894,0.046890600000000074,0.1643322000000022,0.0032721200000000003,4.625325680000092,0
2025-02-05,0.38956751999999145,0.07084632999999878,0.2686214700000061,0.00037241000000000005,4.753636659999995,0
2025-02-06,0.4859098500000082,0.050721010000000004,0.10015762000000487,4.9479999999999994e-05,4.667347070000101,0
2025-02-07,0.7988868300000158,0.05979342999999698,0.19624434000001117,0.00045742,4.296509879999812,0
2025-02-08,0.9024401400000118,0.04719536000000029,0.0856417600000343,0.00013102,3.4847391899999787,0
2025-02-09,0.4058409700000071,0.05103850000000043,0.0998547200000007,2.8009999999999998e-05,2.936868290000031,0
2025-02-10,0.22912722999999421,0.08595497999999666,0.045904640000001946,0.00076686,4.219616119999948,0
2025-02-11,0.28503411000000245,0.057352870000000056,0.05628120000000074,0.00014082,4.859491990000035,0
2025-02-12,0.3029944400000108,0.1596619600000038,0.05017184000000394,0.00065423,4.122757929999966,0.0005572300000000014
2025-02-13,0.6734365600000087,0.06780368000000005,0.2724688400000001,0.0005211199999999999,4.656512139999957,0.005823319999999967
2025-02-14,0.2613333400000021,0.06835064000000002,0.05041574000000246,0.0021136599999999894,4.3503114900000535,0.011687509999999762
2025-02-15,0.23838139,0.054228279999999636,0.1766750800000073,0.00019280000000000002,3.3280763399999564,5.973999999999997e-05
2025-02-16,0.583434239999997,0.0655886199999996,0.036938620000000685,0.0001066499999999998,3.6261527399999425,0.006035799999999783
2025-02-17,0.3196258599999996,0.05811621000000019,0.06057558999999967,8.068999999999871e-05,5.728761320000151,0.00431569999999991
2025-02-18,0.3329235999999697,0.06514068999999925,0.05810878999999914,0.00026245999999995745,4.211025350000213,0.035545119999999514
2025-02-19,0.5462156499999857,0.11294360000000114,0.057397080000006026,0.0002705200000000102,4.32641743999989,0.0838683600000001
2025-02-20,0.7793648500000073,0.06727826999999945,0.04975701999999527,0.0030904899999987245,4.257221170000097,0.1898903199999951
2025-02-21,0.5784025800001131,0.06110843999999643,0.04176719999999917,0.00018500999999998546,4.718258490000116,0.25795403000000144
2025-02-22,1.3964811899998086,0.05320570000000646,0.056084010000006845,1.0199999999960241e-05,4.332614350000838,0.5335712199999958
2025-02-23,4.7256312599999575,0.06703348000000653,0.03589296999995473,8.503999999998069e-05,5.832930069998965,0.8423978200000062
2025-02-24,3.9771652300001032,0.0891533500000001,0.0602779499999927,0.00019215999999999678,9.591083560000893,0.15538020000000022
2025-02-25,1.1933918100001943,0.08390523000000577,0.04505638000001261,0.00024916999999996525,9.604522349999975,0.47038641000003034
2025-02-26,0.569469140000105,0.059328360000001856,0.04684534000001073,0.00014119000000001325,9.646014609999366,0.5824933299999667
2025-02-27,0.21254503000002986,0.05747659000000083,0.044651130000003925,0.00031194000000001054,7.980026979999919,0.09249505999999999
2025-02-28,0.22815642999997807,0.06826468999999974,0.05325238999998917,0.00018738000000000435,6.179527040000027,0.025158499999999934
2025-03-01,0.08445383999999918,0.06702406999999998,0.04880506999999876,0.0006320100000000023,5.5913786300000625,0.018691559999999826
2025-03-02,0.03907244999999984,0.07263932000000041,0.03744111000000059,0.0004502599999999992,5.381384730000111,0.012135990000000152
2025-03-03,0.07998215000000133,0.06464907000000017,0.04400424000000566,0.0001605399999999868,5.739050560000121,0.13611761000000405
2025-03-04,0.055198069999998246,0.055123439999998865,0.05946707999999873,0.000842919999999997,5.046674410000079,0.02998025000000034
2025-03-05,0.06530820000000043,0.04753435000000033,0.08665052999999986,0.0004481000000000068,4.622670880000025,0.01740497999999991
