Timestamp,Date,Measure,Centrifuge,Backed Finance,Backed Finance (xStocks),Securitize,Ondo,Swarm,STOKR,Figure,WisdomTree,Plume Vaults,Superstate Opening Bell,Remora Markets,Robinhood,st0x,bStocks,Dinari
1780444800000,2026-06-03,Bridged Token Value (Dollar),6594826.358793183,801154.3084644087,448071777.4241776,78525186.46,975988443.8492929,810398.3257332772,8745960,25007086.98,26616561.302741908,1881.3989884024963,23618333.362137236,1787075.6256366607,19525835.986869812,110795.34041698312,,7774786.642243826
1780531200000,2026-06-04,Bridged Token Value (Dollar),6551462.164467636,805867.9455878612,451076080.17631525,76544830.86,973627198.3996384,794783.8126323379,8016160,25360743.6,26731246.595960762,1881.3989884024963,22240686.15250716,1787075.6256366607,19682482.51120366,98433.56803964381,,7836102.66513855
1780617600000,2026-06-05,Bridged Token Value (Dollar),6573602.602658771,749736.3804530312,432951969.0468903,75081045.48,881097780.8119206,768016.9650254776,7541190,23069179.209999997,25884580.679137617,883.5773627199663,20655106.516502637,1787075.6256366607,18235906.77071365,100115.95178565432,,7682819.940420293
1780704000000,2026-06-06,Bridged Token Value (Dollar),6573602.602658771,749736.3804530312,432942086.4838904,70768245.48,881097780.8119203,719367.1076943548,7541190,23069179.209999997,25884580.679137617,883.2683091023353,20655106.516502637,1787075.6256366607,18230222.88013169,98192.82610793573,,7680045.586300445
1780790400000,2026-06-07,Bridged Token Value (Dollar),6573602.602658771,749736.3804530312,432942966.02988744,70768245.48,881097780.8119221,719367.107694355,7541190,23069179.209999997,25884580.67913762,883.2683091023353,20655106.516502637,1787075.6256366607,18230216.895400077,101414.39953181572,,7679634.069829747
1780876800000,2026-06-08,Bridged Token Value (Dollar),6406220.487691646,795383.7774733809,446782846.90324277,69779568.42,911206088.7363887,723446.9629535084,7184180,22559049.94,26018302.92941265,883.2683091023353,23259958.63454676,1787075.6256366607,18472942.71791545,98127.7179902791,,7887581.439307703
1780963200000,2026-06-09,Bridged Token Value (Dollar),6421603.016530763,764439.1029909737,442252320.34152514,71170088.56,892010021.6484499,754347.1620993393,7149080,22899136.12,25904760.327329688,882.9889231218133,22738404.751387678,1787075.6256366607,18592318.883836992,112103.6487416971,,7793199.67580026
1781049600000,2026-06-10,Bridged Token Value (Dollar),6402541.995399257,756657.9357344388,435014614.2543237,67973948.98,867031685.9251243,707313.6320026718,7136780,22729121.1,25461280.360060465,880.9699611218133,21603244.5987114,1787075.6256366607,18011674.19222642,97872.95992061493,4050514.032528797,7723759.829919741
1781136000000,2026-06-11,Bridged Token Value (Dollar),6302849.587198541,787015.2730117451,450201516.132902,69848196.88,908437586.3925892,674955.4263999927,7150380,22793899.5,25950655.88363937,880.9699611218133,23792507.47828452,1787075.6256366607,18668726.827430632,84523.15410717076,8363305.287557242,7874624.80113874
1781222400000,2026-06-12,Bridged Token Value (Dollar),6408361.473440806,784282.4609490666,470566929.01928425,68795201.08,903414149.240311,699422.8355915048,6970300,22615758.9,26070304.202553384,880.9699611218133,24013965.448743362,1787075.6256366607,18411725.01701023,77870.69169425941,21268911.25344517,8741962.843849665
1781308800000,2026-06-13,Bridged Token Value (Dollar),6408361.473440806,784282.4609490667,470497837.2968893,67357601.08,903414149.2403111,716354.0834875335,6970300,22615758.9,26070304.202553388,880.8672696481264,24013965.448743362,1787075.6256366607,18411073.95317949,80981.22071466582,20442182.49740571,8740556.502411678
1781395200000,2026-06-14,Bridged Token Value (Dollar),6408361.473440806,784282.4609490667,470423457.06003344,67357601.08,903414149.2403111,716354.0834875335,6970300,22615758.9,26070304.202553384,825.3031459052183,24013965.448743362,1787075.6256366607,18411073.953179482,80981.22071466583,20300600.194343723,8739331.96132455
1781481600000,2026-06-15,Bridged Token Value (Dollar),6436957.246847212,830942.8487244465,514251796.756487,68157958.7,944278547.3523184,718521.2905152346,7441740,23474072.7,26585038.33793374,818.2747717321344,26990985.82211988,1787075.6256366607,19118729.623544462,82185.15367029367,32168279.597723227,8431457.616035417
1781568000000,2026-06-16,Bridged Token Value (Dollar),6549036.0682823565,829296.5776584768,507552797.0560597,73472037.86,922619098.924565,742430.7651639127,7397040,24008642.75,26371556.207019154,797.0756707321343,27040019.200825676,1787075.6256366607,18804728.599608976,83823.4092373066,52832274.55390045,9121017.643237783
1781654400000,2026-06-17,Bridged Token Value (Dollar),6512349.4708163235,808446.8805207339,501361301.3314523,77299098.28,945229502.2105632,711419.5341385157,7380540,22186739,26069836.25077142,797.0756707321343,25936883.09522304,1787075.6256366607,18638552.96319954,80131.61662712369,53142146.90789391,7958597.47230058
1781740800000,2026-06-18,Bridged Token Value (Dollar),6432472.09968341,801214.0738152586,502396379.04860383,72592997.58,956817914.2627078,702845.9299438887,7425720,23117934.25,26409319.871874467,796.8670968153193,24741039.9053592,1787075.6256366607,19052573.48402424,95973.44387303364,63529303.947481364,8087331.647576591
1781827200000,2026-06-19,Bridged Token Value (Dollar),6497620.233863245,801214.0738152586,503621927.1669991,68010647.58000001,957700489.5565119,716903.4801854606,7083320,23117934.25,26409319.871874467,796.8670968153193,24741039.9053592,1787075.6256366607,18981675.597312026,95973.42583092493,60709605.28595185,8084254.774679854
1781913600000,2026-06-20,Bridged Token Value (Dollar),6497620.233863245,801214.0738152586,503620423.9809718,68010647.58000001,957534565.7894334,716903.4801854605,7083320,23117934.25,26409319.871874467,744.7361795931333,24741039.9053592,1787075.6256366607,18981675.597312033,95973.42583092491,60336086.22180192,8084358.4185372805
1782000000000,2026-06-21,Bridged Token Value (Dollar),6497620.233863245,801214.0738152586,503593297.32839864,68010647.58000001,956252646.3637269,716903.4801854605,7083320,23117934.25,26409319.871874467,744.7361795931333,24740529.2795232,1787075.6256366607,18981675.597312007,95973.42583092493,62909458.772139564,8080435.440395365
1782086400000,2026-06-22,Bridged Token Value (Dollar),6497620.233863245,808265.9513936294,500930298.7781007,67774998.28,958572027.0475793,716912.0570744448,6759060,23555191.15,26290301.286081564,744.7361795931333,23955686.633853115,1787075.6256366607,18878681.331417512,123010.56877311852,72204878.99532335,7983623.097347498
1782172800000,2026-06-23,Bridged Token Value (Dollar),6477127.420016188,776760.3637154731,495867971.4671799,68792839.26,916278900.8917217,720748.9454128983,6761460,22656385.3,25882969.15179178,744.7361795931333,23106024.915162597,1787075.6256366607,18236785.387816127,122936.45227219826,84148080.46025853,8392164.407765618
1782259200000,2026-06-24,Bridged Token Value (Dollar),6384802.600063763,738770.2879236962,480494202.8350005,68680940.66,905694287.8394048,687515.9194978744,6690620,22268582.799999997,25836243.387382425,717.1591362464122,20563542.178096082,1787075.6256366607,17958934.361259684,123537.99731090192,99341276.55929281,8232025.37478409
