date,xyz_share_all,xyz_share_q1peers,total_usd_all,xyz_usd,hhi_all,runner_up,runner_up_share,active_namespaces
2026-03-31,0.9077969245353028,0.9077969245353028,3631296643.790108,3296479925.308027,8291.173491099828,cash,0.0696253120841666,6
2026-04-01,0.9284775915868646,0.928489237280262,3215167234.753146,2985210730.6726007,8647.964322200776,cash,0.050937237778368,7
2026-04-02,0.931401946279089,0.9314613720362324,4284546571.7251368,3990635015.828191,8698.976004099124,cash,0.0473420482377617,7
2026-04-03,0.8940155620676572,0.8953158841337799,475921996.7575391,425481671.43155307,8046.943172987731,cash,0.0688026899747711,7
2026-04-04,0.9081046739169416,0.909375670654006,213968571.95750207,194305860.26594108,8274.79169467375,cash,0.0388392191883656,7
2026-04-05,0.893399923492184,0.8938390367412872,760846881.1619121,679740545.419319,8025.031077220654,cash,0.0603640777661469,7
2026-04-06,0.9247766571910654,0.9252738622433528,2682336978.646932,2480562624.573092,8580.493540460486,cash,0.0516436662908996,7
2026-04-07,0.933131393859938,0.933396627095406,5528092258.03486,5158436434.1264,8728.246006549662,cash,0.0438250969107556,7
2026-04-08,0.9538120946328732,0.9541218510637188,4699564621.799817,4482501575.78143,9105.208490369754,cash,0.0249921284433437,7
2026-04-09,0.945021855696011,0.94566492758949,3302527667.9119563,3120960825.2175765,8941.9114183526,cash,0.0309032728128156,7
2026-04-10,0.914770708323674,0.9151384223162284,2007679017.5757492,1836565956.994346,8398.912432792786,cash,0.0526890002471268,7
2026-04-11,0.9076811083333554,0.9085611530390189,545436419.2034518,495082333.50796574,8271.944447056247,cash,0.0518136285839109,7
2026-04-12,0.9331246209536992,0.9332773739794252,1980231784.7389028,1847803033.5349555,8728.489753378155,cash,0.0440967883427083,7
2026-04-13,0.9421388963502269,0.9423802468777198,2678545109.654544,2523561533.434229,8891.419862054303,cash,0.0373001431020381,7
2026-04-14,0.9468794379288058,0.9475543128078584,2231679330.136441,2113131269.7569273,8976.615958441547,cash,0.0303671720618838,7
2026-04-15,0.9460552287278756,0.9471008998939344,2053933281.668626,1943134320.580808,8962.295144262836,cash,0.0329231179240498,7
2026-04-16,0.934372921778135,0.9352170488856568,1794921012.0639997,1677125590.4032066,8749.828506546224,cash,0.0414666152761947,7
2026-04-17,0.9388120938954174,0.9391690281513776,2653685902.1612487,2491312418.3487515,8827.598989651215,cash,0.0336412625406631,7
2026-04-18,0.9097547991549666,0.9122556965322732,706595265.271986,642828433.641366,8302.172260616206,cash,0.0430079529792057,7
