hour_ts_utc,Trade[XYZ],Binance,OKX,Aster,Lighter,Ventuals
2026-06-07 07:00:00+00:00,170.7439467941949,170.60334589746108,167.80476405698303,170.38,156.7280591332045,156.45260013771832
2026-06-07 08:00:00+00:00,169.79079341304742,169.58641852640733,166.8159278971516,169.66646089600718,155.72247706422016,156.6322629969419
2026-06-07 09:00:00+00:00,170.7821353972265,170.48279872621515,167.7067181799767,170.59300302593988,156.8195718654434,157.7064220183486
2026-06-07 10:00:00+00:00,169.57680957844718,169.31946176625326,166.74537566228716,169.32250184545427,155.24464831804278,156.7813455657492
2026-06-07 11:00:00+00:00,169.71968603707717,169.4612426780248,166.75746218626603,169.48711227190415,155.0993883792049,156.66666666666663
2026-06-07 12:00:00+00:00,168.48032510712522,168.36583457477508,165.47907826656336,168.37250066819112,153.90672782874614,155.48165137614677
2026-06-07 13:00:00+00:00,168.95910015366348,168.65344560445737,165.94530369105985,168.9705486046947,155.86391437308868,154.45340119499735
2026-06-07 14:00:00+00:00,171.6508646264452,171.26452926608394,168.49927952016583,171.16000058424865,157.57262996941893,155.4909765430273
2026-06-07 15:00:00+00:00,173.63288885667328,173.29892504753673,170.71310015580195,173.5824313297636,159.09785932721712,156.62079510703362
2026-06-07 16:00:00+00:00,176.34569493961445,176.0681963069964,173.4503564519668,176.2015123414518,162.07950449457604,157.9370643060381
2026-06-07 17:00:00+00:00,174.921214916519,174.6040594887424,171.64639832004482,174.59915850973232,159.90825688073394,160.51131353473212
2026-06-07 18:00:00+00:00,172.1532566521841,171.77723420109893,169.26585034727054,171.65999999999997,156.6743119266055,158.8341252557696
2026-06-07 19:00:00+00:00,171.30423371840828,170.6849365730988,168.15747905674374,170.4375923764045,156.46406727828747,157.85932721712538
2026-06-07 20:00:00+00:00,171.94716396793456,171.2790260608935,168.83199769440378,171.24341482880112,156.7737003058104,158.1651376146789
2026-06-07 21:00:00+00:00,171.96320871667456,171.26400194915692,168.91914136261346,170.95380984402178,,158.25137783483564
2026-06-07 22:00:00+00:00,172.94983831003148,172.20917281284613,169.78343329435012,172.29984093055913,157.85932721712538,
2026-06-07 23:00:00+00:00,173.23282484936277,172.4153879884135,170.01079494014715,172.44625005436592,,157.99346067940877
2026-06-08 00:00:00+00:00,171.41440315571276,170.8132439356542,168.45268447168138,171.0438573879122,,157.26371425918057
2026-06-08 01:00:00+00:00,171.7322234206519,171.06449796700556,168.9052914375615,171.16000058424865,,158.5519555701088
2026-06-08 02:00:00+00:00,171.03795813414314,170.26960151366194,168.53589054780576,170.41,,157.31651376146786
2026-06-08 03:00:00+00:00,169.55227191432786,169.008858054896,167.31276807846302,169.05000374664775,,157.14846678104
2026-06-08 04:00:00+00:00,168.05746406455614,167.54633749298551,166.02966429093675,167.59481882552618,,156.87697445337864
2026-06-08 05:00:00+00:00,169.01213677562166,168.5773151098154,166.88760080510107,168.65000948710343,,155.19875010791552
2026-06-08 06:00:00+00:00,168.24535406822486,167.69544511392758,166.22902281870054,167.59999999999997,,155.91777537291756
2026-06-08 07:00:00+00:00,167.7847797372726,167.20448081620248,166.00506715276111,167.34675965589807,,156.59785932721712
2026-06-08 08:00:00+00:00,167.38613713055082,166.8247973006959,165.43804840119344,166.83418652645318,,155.39104497246495
